id,phenotype
TBC1D10C,0.9033368977900569
YIF1B,0.8687047941508463
SPSB2,0.8280787388452271
PLG,0.8277202807895772
PLD2,0.8228285801735351
PPP6R2,0.8116462084051163
DNMT3A,0.8029451573392911
FADS3,0.796579994868915
BCL7A,0.7962876148022736
IRS2,0.7951791233630616
KNSTRN,0.7941523262199264
KCTD21,0.7900754309549041
SUB1,0.7868266800917398
HNF1A,0.7822933845688129
TMEM230,0.7815956605076702
P4HA1,0.7762030228533472
ACTG1,0.7754522212762684
XPO7,0.7743408360535953
PTGIR,0.7739609726710889
THADA,0.770554493763937
EHMT1,0.7683175491986416
TUBG2,0.7675789672705591
HMOX2,0.7665662374340207
CAMTA1,0.765593350905145
MEX3D,0.7643347080442393
MARK2,0.7629428057078567
FAM110A,0.7618844899612536
HIVEP2,0.7610731222502582
SLC7A5,0.760749692604979
PHLDB3,0.760338689249302
TNPO3,0.7588893682709318
CDK2AP1,0.7579713321191413
TSC22D1,0.7577534271519055
NADK,0.7531485971475684
RAB1A,0.7501421843357674
SHMT2,0.7483288830792677
USP42,0.7479472860998312
CHMP1B,0.7466550739088806
TM9SF1,0.745986386063549
CCL28,0.7450544234028278
C4A,0.7447012345686589
SERF2,0.7443478157564614
ENY2,0.7442322248987709
ICAM2,0.7425148982595571
BEND3,0.7421404196720441
GPN1,0.7419591962950106
CUTC,0.740777122126391
PI4K2B,0.7395961056260073
PTPRCAP,0.7377427618632778
RRAGA,0.7364926456586429
DNLZ,0.7356112323400578
TBC1D13,0.7346080023021311
ID2,0.7333214454868855
CREB3L3,0.7331986007232792
VIT,0.7324806629139267
GLE1,0.7321009437495091
PDRG1,0.730401636830855
GDPD5,0.7303583957844689
SLC43A2,0.7301576249335336
TWF2,0.7291603852923771
IRX3,0.7288234182563489
JUP,0.7282685486532228
CSAD,0.7275662191871686
SNRPB2,0.7273340929484315
CCR5,0.7272711948415563
MTHFR,0.7266137821563369
ANKRD35,0.7256997772559477
BOP1,0.7255378411471869
SLC17A2,0.7245843002611903
ANK1,0.7232939188451761
ABCD4,0.7227621025846304
NSMAF,0.7217951976744353
GSTM1,0.7217658518878816
ERN1,0.7214009306553952
KCTD9,0.7203931352604084
TSSK6,0.7201635738554781
SLC16A8,0.7185623111737716
XRCC1,0.7185121696785858
GINS1,0.7183288719091299
MCAT,0.7181705011933177
RBKS,0.7180919693448897
JOSD1,0.7171020479367566
PPIL2,0.7150586755539516
CPD,0.714989880066559
MAPRE3,0.7144217211896875
PLEKHM2,0.7142820793259403
PIAS4,0.7140774883433981
TMEM183A,0.7129550064028392
ZNF93,0.7119858997251252
PPP1R15A,0.7118464925460031
TSPAN15,0.7101234732095332
PRKAB1,0.7097265771248739
TEAD2,0.7093645885005839
VPS53,0.7076589124408383
CTSA,0.7071430272104474
RIN2,0.7070811354326607
IARS2,0.7063351401941464
SSR2,0.7062510755564863
GAB1,0.7060530399647955
GSK3B,0.7058733743517868
SOX13,0.7054625242041972
SLC2A4,0.7044976185039963
TRAM1,0.7036034500700077
TMEM199,0.7033936619068433
ACTR3C,0.703337246883941
BECN1,0.7032413401742843
KLC1,0.702263666775258
LEKR1,0.70213462277423
GPRIN3,0.7021302490779685
IRAK1BP1,0.7019711226359544
MCL1,0.7012483713141765
MAU2,0.7001445785663981
ACOT4,0.7001073283927471
DNTTIP1,0.70009521215047
DLX6,0.6998667091155473
ABHD13,0.6995211661849495
CTNNBIP1,0.6990194691101365
RAB11FIP2,0.6990127268438507
SH2D5,0.6989217924900345
VPS26A,0.698355156009735
IKZF5,0.6977593461900723
ARL11,0.6976603871719176
CEBPE,0.6965143764117493
MTA3,0.6964352846960948
NHLRC2,0.6959187973710084
PEA15,0.695756166628217
MCF2L,0.695256087814596
PHGDH,0.6950742991505362
VASP,0.6947223800075348
KIF13B,0.694549772121621
R3HDM2,0.6941463548941446
NAA50,0.6936119228447571
NEK11,0.6931574998963389
CDK2AP2,0.692570300465398
NPDC1,0.6924976181647187
ZBTB12,0.6923227528543023
GSTM3,0.6919541748793625
ACTR2,0.6917351798103988
LY6E,0.6913606373615404
LARS2,0.6908067796777607
ATRAID,0.6905764242645143
ATP2B4,0.6903527638754849
SLC35E4,0.690294033939056
PPP1R21,0.6900075705305884
GTF3C4,0.6897112874675186
CCDC66,0.6896568889233604
KLHL3,0.689613029476124
KLHDC10,0.6895509057367286
BTBD16,0.6894640161912718
ADORA1,0.6894635876633095
CCDC88B,0.6893462062559889
LBHD1,0.6892862261750271
NPHP3,0.689171910272911
PYROXD1,0.6888514691962468
GTF2E2,0.6881881072786051
CNN3,0.6880807460441332
PITPNC1,0.6878348132356178
TP53I3,0.6878241608887934
KANSL2,0.6877140463590756
AKR1C2,0.6876399134934796
SIRT6,0.6876007289528985
MYL6B,0.6875410659164961
HP1BP3,0.6875054051841192
XPNPEP3,0.6873662333134128
GSTM2,0.6872079132726691
KCNAB1,0.6871563673270671
UHRF1,0.6865013744197968
PREP,0.686393871713524
MKLN1,0.6863539683064044
OSGEP,0.6857137167662937
PCSK7,0.6852710896004532
TM2D2,0.6851876529058126
TMEM45A,0.6850338300924005
ZNF226,0.6845762794779917
TMEM158,0.6843472698222124
SPATC1,0.6840588462524895
FUT6,0.6837899180163678
MYB,0.683714488420027
C17orf49,0.6834019515044355
METTL1,0.6829949009741187
MCUR1,0.6824200667978828
CRACR2A,0.6822401787196962
NISCH,0.6819807118782163
CDKN2A,0.6818872644489785
MLST8,0.681878450442956
LRRK1,0.6816125671797382
ARNT,0.6814633165754347
KIAA0895,0.6810258361277373
C3orf14,0.6806956432323372
PSMB9,0.6805668363250468
ODF3B,0.6805620638716743
ASB1,0.6803179351814097
CLIC4,0.6799665933833442
MKRN3,0.6798376369280797
SCAMP5,0.6797929926911109
ECM1,0.6797848779503232
SH2B3,0.6797750593736437
TRPC1,0.6796229253817301
TSEN54,0.6794377218553288
C1QA,0.679040560575131
RNF31,0.6788958341245024
PHF7,0.6785501583603711
FERMT1,0.6784390509065134
UNC119,0.6781530171935877
PCBP3,0.6780627816323691
HMGN4,0.677993553391488
TYSND1,0.6779419557235496
PEX11B,0.6769872122041376
ARHGEF16,0.6766403744924931
CDKL3,0.6763594415634285
SHMT1,0.676327587363775
ZNHIT6,0.6761290334675198
ATP6V1B1,0.6760862108729647
NEK4,0.6760789619391353
EPOR,0.6760377778697598
